source,target,datasource_pair,label,predicted_label,disagreement,weighted_disagreement,datasource_pair_frequency,explore_score,exploit_score,betweeness,graph_inferred_label,inf_score,votes,sel_proba,cc_size,query_strategy,size
yellow_pages_1_24121,yelp_2_1126,yellow_pages_1__yelp_2,True,bootstrap,,,,,,,,,,,,,
yellow_pages_1_27838,yelp_3_9917,yellow_pages_1__yelp_3,True,bootstrap,,,,,,,,,,,,,
yellow_pages_1_3175,zomato_2_3513,yellow_pages_1__zomato_2,True,bootstrap,,,,,,,,,,,,,
yelp_2_2152,yelp_3_1852,yelp_2__yelp_3,True,bootstrap,,,,,,,,,,,,,
yelp_2_592,zomato_2_596,yelp_2__zomato_2,True,bootstrap,,,,,,,,,,,,,
yelp_3_1950,zomato_2_2587,yelp_3__zomato_2,True,bootstrap,,,,,,,,,,,,,
yellow_pages_1_2003,yelp_2_1384,yellow_pages_1__yelp_2,False,bootstrap,,,,,,,,,,,,,
yellow_pages_1_13196,yelp_3_4763,yellow_pages_1__yelp_3,False,bootstrap,,,,,,,,,,,,,
yellow_pages_1_2003,zomato_2_1730,yellow_pages_1__zomato_2,False,bootstrap,,,,,,,,,,,,,
yelp_2_915,yelp_3_2843,yelp_2__yelp_3,False,bootstrap,,,,,,,,,,,,,
yelp_2_3816,zomato_2_1469,yelp_2__zomato_2,False,bootstrap,,,,,,,,,,,,,
yelp_3_2131,zomato_2_6279,yelp_3__zomato_2,False,bootstrap,,,,,,,,,,,,,
yelp_2_19,yelp_3_5807,yelp_2__yelp_3,False,True,0.4,,,,,,,0.4,"(True, False, True, True, False)",,,disagreement,12
yelp_2_1053,zomato_2_1700,yelp_2__zomato_2,False,False,0.4,,,,,,,0.4,"(False, True, True, False, False)",,,disagreement,13
yelp_3_4263,zomato_2_1554,yelp_3__zomato_2,False,False,0.4,,,,,,,0.4,"(False, False, False, True, True)",,,disagreement,14
yellow_pages_1_3184,yelp_3_1342,yellow_pages_1__yelp_3,False,False,0.4,,,,,,,0.4,"(False, False, True, True, True)",,,disagreement,15
yellow_pages_1_11954,yelp_3_4326,yellow_pages_1__yelp_3,False,False,0.4,,,,,,,0.4,"(False, True, False, False, True)",,,disagreement,16
yellow_pages_1_3767,yelp_2_1803,yellow_pages_1__yelp_2,True,True,0.4,,,,,,,0.4,"(True, True, True, False, False)",,,disagreement,17
yellow_pages_1_18921,yelp_3_6025,yellow_pages_1__yelp_3,True,True,0.4,,,,,,,0.4,"(True, False, True, False, False)",,,disagreement,18
yelp_3_9012,zomato_2_3673,yelp_3__zomato_2,False,False,0.4,,,,,,,0.4,"(False, True, True, True, False)",,,disagreement,19
yelp_3_6257,zomato_2_1352,yelp_3__zomato_2,False,False,0.4,,,,,,,0.4,"(False, True, True, False, False)",,,disagreement,20
yellow_pages_1_22626,yelp_3_7202,yellow_pages_1__yelp_3,True,True,0.4,,,,,,,0.4,"(True, False, False, True, True)",,,disagreement,21
yelp_2_311,zomato_2_614,yelp_2__zomato_2,False,False,0.4,,,,,,,0.4,"(False, True, True, False, False)",,,disagreement,22
yellow_pages_1_19065,yelp_3_3957,yellow_pages_1__yelp_3,False,False,0.4,,,,,,,0.4,"(False, True, False, True, False)",,,disagreement,23
yellow_pages_1_18166,yelp_3_6681,yellow_pages_1__yelp_3,False,False,0.4,,,,,,,0.4,"(False, True, True, False, False)",,,disagreement,24
yellow_pages_1_26297,yelp_2_1387,yellow_pages_1__yelp_2,False,False,0.4,,,,,,,0.4,"(False, True, True, True, False)",,,disagreement,25
yellow_pages_1_11094,yelp_3_3509,yellow_pages_1__yelp_3,False,False,0.4,,,,,,,0.4,"(False, True, False, True, False)",,,disagreement,26
yellow_pages_1_24684,yelp_3_8432,yellow_pages_1__yelp_3,False,False,0.4,,,,,,,0.4,"(False, True, False, True, False)",,,disagreement,27
yellow_pages_1_19935,yelp_3_6517,yellow_pages_1__yelp_3,False,False,0.4,,,,,,,0.4,"(False, True, True, False, False)",,,disagreement,28
yellow_pages_1_16471,yelp_3_5332,yellow_pages_1__yelp_3,False,False,0.4,,,,,,,0.4,"(False, False, True, True, True)",,,disagreement,29
yellow_pages_1_11812,yelp_3_3543,yellow_pages_1__yelp_3,True,True,0.4,,,,,,,0.4,"(True, True, False, True, False)",,,disagreement,30
yellow_pages_1_19812,yelp_2_1269,yellow_pages_1__yelp_2,False,False,0.4,,,,,,,0.4,"(False, True, False, True, False)",,,disagreement,31
yellow_pages_1_7399,yelp_3_2591,yellow_pages_1__yelp_3,True,True,0.4,,,,,,,0.4,"(True, False, True, True, False)",,,disagreement,32
yellow_pages_1_27914,yelp_3_9491,yellow_pages_1__yelp_3,True,False,0.4,,,,,,,0.4,"(False, True, True, True, False)",,,disagreement,33
yellow_pages_1_24252,zomato_2_1571,yellow_pages_1__zomato_2,True,True,0.4,,,,,,,0.4,"(True, True, True, False, False)",,,disagreement,34
yellow_pages_1_28596,yelp_3_9188,yellow_pages_1__yelp_3,False,True,0.4,,,,,,,0.4,"(True, True, True, False, False)",,,disagreement,35
yellow_pages_1_18218,yelp_3_6160,yellow_pages_1__yelp_3,True,False,0.4,,,,,,,0.4,"(False, False, False, True, True)",,,disagreement,36
yellow_pages_1_4252,zomato_2_3010,yellow_pages_1__zomato_2,True,False,0.4,,,,,,,0.4,"(False, True, True, False, False)",,,disagreement,37
yellow_pages_1_17344,yelp_3_5927,yellow_pages_1__yelp_3,False,False,0.4,,,,,,,0.4,"(False, True, True, False, False)",,,disagreement,38
yelp_2_1658,yelp_3_1577,yelp_2__yelp_3,True,True,0.4,,,,,,,0.4,"(True, False, False, True, True)",,,disagreement,39
yellow_pages_1_22522,yelp_3_7477,yellow_pages_1__yelp_3,False,False,0.4,,,,,,,0.4,"(False, True, True, True, False)",,,disagreement,40
yellow_pages_1_24818,zomato_2_1672,yellow_pages_1__zomato_2,True,True,0.4,,,,,,,0.4,"(True, False, True, True, False)",,,disagreement,41
yellow_pages_1_27980,yelp_3_9944,yellow_pages_1__yelp_3,False,False,0.4,,,,,,,0.4,"(False, True, True, False, False)",,,disagreement,42
yellow_pages_1_10626,yelp_3_3285,yellow_pages_1__yelp_3,False,True,0.4,,,,,,,0.4,"(True, True, True, False, False)",,,disagreement,43
yellow_pages_1_10750,yelp_3_3821,yellow_pages_1__yelp_3,False,False,0.4,,,,,,,0.4,"(False, True, False, True, False)",,,disagreement,44
yellow_pages_1_10716,yelp_3_3877,yellow_pages_1__yelp_3,True,False,0.4,,,,,,,0.4,"(False, True, True, False, False)",,,disagreement,45
yellow_pages_1_22932,yelp_3_7549,yellow_pages_1__yelp_3,True,True,0.4,,,,,,,0.4,"(True, True, True, False, False)",,,disagreement,46
yelp_2_1027,zomato_2_1890,yelp_2__zomato_2,True,False,0.4,,,,,,,0.4,"(False, True, True, True, False)",,,disagreement,47
yelp_2_880,yelp_3_8314,yelp_2__yelp_3,False,False,0.4,,,,,,,0.4,"(False, True, True, False, False)",,,disagreement,48
yellow_pages_1_27451,yelp_3_9027,yellow_pages_1__yelp_3,False,False,0.4,,,,,,,0.4,"(False, False, False, True, True)",,,disagreement,49
yellow_pages_1_4061,yelp_2_2309,yellow_pages_1__yelp_2,True,False,0.4,,,,,,,0.4,"(False, True, False, False, True)",,,disagreement,50
yellow_pages_1_24981,zomato_2_1551,yellow_pages_1__zomato_2,True,True,0.4,,,,,,,0.4,"(True, False, False, False, True)",,,disagreement,51
yellow_pages_1_23516,yelp_2_1335,yellow_pages_1__yelp_2,False,True,0.4,,,,,,,0.4,"(True, False, False, True, False)",,,disagreement,52
yelp_2_1179,zomato_2_2038,yelp_2__zomato_2,True,True,0.4,,,,,,,0.4,"(True, True, False, True, False)",,,disagreement,53
yellow_pages_1_28567,yelp_3_9720,yellow_pages_1__yelp_3,False,False,0.4,,,,,,,0.4,"(False, True, True, False, False)",,,disagreement,54
yellow_pages_1_28086,yelp_3_9489,yellow_pages_1__yelp_3,False,False,0.4,,,,,,,0.4,"(False, True, True, False, True)",,,disagreement,55
yellow_pages_1_4697,zomato_2_2909,yellow_pages_1__zomato_2,False,True,0.4,,,,,,,0.4,"(True, True, False, True, False)",,,disagreement,56
yelp_2_783,zomato_2_1552,yelp_2__zomato_2,True,False,0.4,,,,,,,0.4,"(False, False, True, True, False)",,,disagreement,57
yellow_pages_1_18666,yelp_3_6584,yellow_pages_1__yelp_3,False,True,0.4,,,,,,,0.4,"(True, True, True, False, False)",,,disagreement,58
yellow_pages_1_13684,yelp_3_4368,yellow_pages_1__yelp_3,True,False,0.4,,,,,,,0.4,"(False, True, True, True, False)",,,disagreement,59
yellow_pages_1_9249,yelp_3_3009,yellow_pages_1__yelp_3,True,False,0.4,,,,,,,0.4,"(False, True, True, False, False)",,,disagreement,60
yellow_pages_1_4535,yelp_3_1523,yellow_pages_1__yelp_3,False,False,0.4,,,,,,,0.4,"(False, True, True, False, False)",,,disagreement,61
yellow_pages_1_20895,yelp_3_7412,yellow_pages_1__yelp_3,True,False,0.4,,,,,,,0.4,"(False, True, True, False, True)",,,disagreement,62
yellow_pages_1_15390,yelp_3_5657,yellow_pages_1__yelp_3,True,False,0.4,,,,,,,0.4,"(False, True, True, False, False)",,,disagreement,63
yellow_pages_1_6426,yelp_3_2604,yellow_pages_1__yelp_3,False,False,0.4,,,,,,,0.4,"(False, True, True, True, False)",,,disagreement,64
yellow_pages_1_14208,yelp_3_3979,yellow_pages_1__yelp_3,False,False,0.4,,,,,,,0.4,"(False, True, True, False, False)",,,disagreement,65
yellow_pages_1_25507,zomato_2_2002,yellow_pages_1__zomato_2,True,False,0.4,,,,,,,0.4,"(False, True, True, True, False)",,,disagreement,66
yellow_pages_1_8541,yelp_3_2871,yellow_pages_1__yelp_3,True,False,0.4,,,,,,,0.4,"(False, True, False, True, False)",,,disagreement,67
yellow_pages_1_22335,yelp_3_7071,yellow_pages_1__yelp_3,False,True,0.4,,,,,,,0.4,"(True, True, True, False, False)",,,disagreement,68
yellow_pages_1_17902,yelp_3_6806,yellow_pages_1__yelp_3,False,False,0.4,,,,,,,0.4,"(False, True, False, False, True)",,,disagreement,69
yellow_pages_1_20498,yelp_3_6254,yellow_pages_1__yelp_3,True,False,0.4,,,,,,,0.4,"(False, True, True, False, True)",,,disagreement,70
yellow_pages_1_11873,yelp_3_4908,yellow_pages_1__yelp_3,False,False,0.4,,,,,,,0.4,"(False, True, False, False, True)",,,disagreement,71
yellow_pages_1_19195,yelp_3_6624,yellow_pages_1__yelp_3,False,True,0.4,,,,,,,0.4,"(True, False, True, True, False)",,,disagreement,72
yellow_pages_1_2579,yelp_3_216,yellow_pages_1__yelp_3,True,True,0.4,,,,,,,0.4,"(True, False, True, True, False)",,,disagreement,73
yellow_pages_1_3499,yelp_2_2361,yellow_pages_1__yelp_2,True,False,0.4,,,,,,,0.4,"(False, False, True, True, True)",,,disagreement,74
yellow_pages_1_19703,yelp_3_6124,yellow_pages_1__yelp_3,True,True,0.4,,,,,,,0.4,"(True, True, False, False, True)",,,disagreement,75
yellow_pages_1_7996,zomato_2_817,yellow_pages_1__zomato_2,False,False,0.4,,,,,,,0.4,"(False, True, False, True, False)",,,disagreement,76
yellow_pages_1_8218,yelp_3_2047,yellow_pages_1__yelp_3,True,False,0.4,,,,,,,0.4,"(False, False, False, True, True)",,,disagreement,77
yellow_pages_1_25618,yelp_3_6784,yellow_pages_1__yelp_3,False,False,0.4,,,,,,,0.4,"(False, True, False, True, False)",,,disagreement,78
yellow_pages_1_13647,yelp_3_4287,yellow_pages_1__yelp_3,True,True,0.4,,,,,,,0.4,"(True, False, True, True, False)",,,disagreement,79
yellow_pages_1_20257,yelp_3_6572,yellow_pages_1__yelp_3,True,True,0.4,,,,,,,0.4,"(True, False, True, True, False)",,,disagreement,80
yellow_pages_1_10688,yelp_3_3792,yellow_pages_1__yelp_3,True,False,0.4,,,,,,,0.4,"(False, False, False, True, True)",,,disagreement,81
yellow_pages_1_27237,yelp_3_9907,yellow_pages_1__yelp_3,False,False,0.4,,,,,,,0.4,"(False, True, False, False, True)",,,disagreement,82
yellow_pages_1_20718,yelp_3_7253,yellow_pages_1__yelp_3,False,False,0.4,,,,,,,0.4,"(False, True, False, False, True)",,,disagreement,83
yellow_pages_1_27998,yelp_3_9862,yellow_pages_1__yelp_3,False,False,0.4,,,,,,,0.4,"(False, False, False, True, True)",,,disagreement,84
yellow_pages_1_19701,yelp_3_6653,yellow_pages_1__yelp_3,False,False,0.4,,,,,,,0.4,"(False, True, True, False, False)",,,disagreement,85
yellow_pages_1_23091,yelp_3_7343,yellow_pages_1__yelp_3,True,True,0.4,,,,,,,0.4,"(True, False, True, True, False)",,,disagreement,86
yellow_pages_1_4110,yelp_3_1174,yellow_pages_1__yelp_3,True,True,0.4,,,,,,,0.4,"(True, False, True, True, False)",,,disagreement,87
yellow_pages_1_25774,yelp_3_8512,yellow_pages_1__yelp_3,True,False,0.4,,,,,,,0.4,"(False, True, True, True, False)",,,disagreement,88
yellow_pages_1_23402,yelp_3_7610,yellow_pages_1__yelp_3,False,False,0.4,,,,,,,0.4,"(False, True, False, True, True)",,,disagreement,89
yellow_pages_1_13045,yelp_3_4894,yellow_pages_1__yelp_3,False,False,0.4,,,,,,,0.4,"(False, True, False, False, True)",,,disagreement,90
yellow_pages_1_27751,yelp_3_9079,yellow_pages_1__yelp_3,False,True,0.4,,,,,,,0.4,"(True, False, False, True, True)",,,disagreement,91
yellow_pages_1_4014,yelp_2_557,yellow_pages_1__yelp_2,False,False,0.4,,,,,,,0.4,"(False, True, False, False, True)",,,disagreement,92
yellow_pages_1_11823,yelp_3_3220,yellow_pages_1__yelp_3,True,True,0.4,,,,,,,0.4,"(True, True, True, False, False)",,,disagreement,93
yellow_pages_1_28022,yelp_3_9336,yellow_pages_1__yelp_3,True,True,0.4,,,,,,,0.4,"(True, False, False, True, False)",,,disagreement,94
yellow_pages_1_13482,yelp_3_4102,yellow_pages_1__yelp_3,True,True,0.4,,,,,,,0.4,"(True, True, False, True, False)",,,disagreement,95
yellow_pages_1_6968,zomato_2_1352,yellow_pages_1__zomato_2,True,True,0.4,,,,,,,0.4,"(True, False, True, True, False)",,,disagreement,96
yellow_pages_1_11601,yelp_3_3867,yellow_pages_1__yelp_3,True,True,0.4,,,,,,,0.4,"(True, False, False, True, True)",,,disagreement,97
yellow_pages_1_4893,zomato_2_3810,yellow_pages_1__zomato_2,False,False,0.4,,,,,,,0.4,"(False, True, False, True, False)",,,disagreement,98
yellow_pages_1_14187,yelp_3_4010,yellow_pages_1__yelp_3,False,True,0.4,,,,,,,0.4,"(True, True, True, False, False)",,,disagreement,99
yellow_pages_1_26587,yelp_3_9862,yellow_pages_1__yelp_3,False,False,0.4,,,,,,,0.4,"(False, False, False, True, True)",,,disagreement,100
yelp_3_1082,zomato_2_1853,yelp_3__zomato_2,False,False,0.4,,,,,,,0.4,"(False, True, True, False, False)",,,disagreement,101
yellow_pages_1_8685,zomato_2_614,yellow_pages_1__zomato_2,True,True,0.4,,,,,,,0.4,"(True, False, True, False, False)",,,disagreement,102
yelp_3_8294,zomato_2_1683,yelp_3__zomato_2,True,True,0.4,,,,,,,0.4,"(True, False, True, True, False)",,,disagreement,103
yelp_3_8412,zomato_2_1768,yelp_3__zomato_2,True,True,0.4,,,,,,,0.4,"(True, False, True, False, False)",,,disagreement,104
yellow_pages_1_3671,yelp_3_1872,yellow_pages_1__yelp_3,False,False,0.4,,,,,,,0.4,"(False, False, False, True, True)",,,disagreement,105
yellow_pages_1_19075,yelp_3_6751,yellow_pages_1__yelp_3,True,False,0.4,,,,,,,0.4,"(False, False, False, True, True)",,,disagreement,106
yellow_pages_1_4203,yelp_3_1012,yellow_pages_1__yelp_3,True,False,0.4,,,,,,,0.4,"(False, False, False, True, True)",,,disagreement,107
yellow_pages_1_9635,yelp_3_3659,yellow_pages_1__yelp_3,False,False,0.4,,,,,,,0.4,"(False, True, True, False, False)",,,disagreement,108
yellow_pages_1_20984,yelp_3_6956,yellow_pages_1__yelp_3,False,False,0.4,,,,,,,0.4,"(False, True, True, False, False)",,,disagreement,109
yellow_pages_1_19512,yelp_3_6041,yellow_pages_1__yelp_3,False,False,0.4,,,,,,,0.4,"(False, True, False, False, True)",,,disagreement,110
yellow_pages_1_3277,yelp_2_1695,yellow_pages_1__yelp_2,False,False,0.4,,,,,,,0.4,"(False, False, False, True, True)",,,disagreement,111
yelp_2_1084,zomato_2_1813,yelp_2__zomato_2,True,False,0.4,,,,,,,0.4,"(False, True, True, True, False)",,,disagreement,112
yellow_pages_1_16418,yelp_3_3787,yellow_pages_1__yelp_3,False,False,0.4,,,,,,,0.4,"(False, True, True, False, False)",,,disagreement,113
yellow_pages_1_7129,yelp_3_2077,yellow_pages_1__yelp_3,True,True,0.4,,,,,,,0.4,"(True, True, True, False, False)",,,disagreement,114
yellow_pages_1_28057,yelp_3_9530,yellow_pages_1__yelp_3,False,False,0.4,,,,,,,0.4,"(False, True, False, False, True)",,,disagreement,115
yellow_pages_1_215,yelp_2_3737,yellow_pages_1__yelp_2,True,True,0.4,,,,,,,0.4,"(True, False, False, True, True)",,,disagreement,116
yellow_pages_1_27650,yelp_3_9008,yellow_pages_1__yelp_3,True,True,0.4,,,,,,,0.4,"(True, True, False, True, False)",,,disagreement,117
yellow_pages_1_2987,yelp_3_1875,yellow_pages_1__yelp_3,False,False,0.4,,,,,,,0.4,"(False, True, True, False, False)",,,disagreement,118
yellow_pages_1_3477,yelp_2_2355,yellow_pages_1__yelp_2,True,True,0.4,,,,,,,0.4,"(True, False, True, True, False)",,,disagreement,119
yellow_pages_1_25368,yelp_3_8749,yellow_pages_1__yelp_3,True,True,0.4,,,,,,,0.4,"(True, True, False, True, False)",,,disagreement,120
yellow_pages_1_27768,yelp_3_9343,yellow_pages_1__yelp_3,False,False,0.4,,,,,,,0.4,"(False, False, False, True, True)",,,disagreement,121
yellow_pages_1_135,zomato_2_7520,yellow_pages_1__zomato_2,False,False,0.4,,,,,,,0.4,"(False, True, True, False, False)",,,disagreement,122
yellow_pages_1_3138,yelp_3_1125,yellow_pages_1__yelp_3,False,False,0.4,,,,,,,0.4,"(False, True, True, True, False)",,,disagreement,123
yellow_pages_1_16659,yelp_3_5639,yellow_pages_1__yelp_3,False,False,0.4,,,,,,,0.4,"(False, True, False, True, True)",,,disagreement,124
yellow_pages_1_21000,yelp_3_7683,yellow_pages_1__yelp_3,True,True,0.4,,,,,,,0.4,"(True, False, False, True, True)",,,disagreement,125
yellow_pages_1_18315,yelp_3_6799,yellow_pages_1__yelp_3,False,True,0.4,,,,,,,0.4,"(True, True, True, False, False)",,,disagreement,126
yellow_pages_1_5031,yelp_3_1239,yellow_pages_1__yelp_3,False,False,0.4,,,,,,,0.4,"(False, True, False, True, False)",,,disagreement,127
yellow_pages_1_25947,zomato_2_1508,yellow_pages_1__zomato_2,True,True,0.4,,,,,,,0.4,"(True, True, True, False, False)",,,disagreement,128
yellow_pages_1_17633,yelp_3_6731,yellow_pages_1__yelp_3,False,True,0.4,,,,,,,0.4,"(True, False, False, False, True)",,,disagreement,129
yellow_pages_1_18348,yelp_3_6817,yellow_pages_1__yelp_3,True,True,0.4,,,,,,,0.4,"(True, True, True, False, False)",,,disagreement,130
yellow_pages_1_18907,yelp_3_6098,yellow_pages_1__yelp_3,True,True,0.4,,,,,,,0.4,"(True, True, True, False, False)",,,disagreement,131
yellow_pages_1_8101,yelp_3_2297,yellow_pages_1__yelp_3,True,True,0.4,,,,,,,0.4,"(True, False, False, True, False)",,,disagreement,132
yellow_pages_1_23596,yelp_2_1042,yellow_pages_1__yelp_2,True,False,0.4,,,,,,,0.4,"(False, False, False, True, True)",,,disagreement,133
yellow_pages_1_25213,yelp_2_847,yellow_pages_1__yelp_2,True,False,0.4,,,,,,,0.4,"(False, False, False, True, True)",,,disagreement,134
yellow_pages_1_8274,zomato_2_913,yellow_pages_1__zomato_2,True,True,0.4,,,,,,,0.4,"(True, False, False, True, True)",,,disagreement,135
yelp_2_1920,zomato_2_4329,yelp_2__zomato_2,False,False,0.4,,,,,,,0.4,"(False, False, False, True, True)",,,disagreement,136
yelp_3_1707,zomato_2_3147,yelp_3__zomato_2,False,True,0.4,,,,,,,0.4,"(True, True, True, False, False)",,,disagreement,137
yelp_2_1912,zomato_2_4329,yelp_2__zomato_2,True,False,0.4,,,,,,,0.4,"(False, True, False, True, True)",,,disagreement,138
yellow_pages_1_15768,yelp_3_5422,yellow_pages_1__yelp_3,True,True,0.4,,,,,,,0.4,"(True, True, True, False, False)",,,disagreement,139
yellow_pages_1_27451,yelp_3_9862,yellow_pages_1__yelp_3,False,False,0.4,,,,,,,0.4,"(False, False, False, True, True)",,,disagreement,140
yellow_pages_1_19422,yelp_3_6190,yellow_pages_1__yelp_3,False,True,0.4,,,,,,,0.4,"(True, True, False, False, True)",,,disagreement,141
yellow_pages_1_23742,yelp_3_8145,yellow_pages_1__yelp_3,False,False,0.4,,,,,,,0.4,"(False, False, True, True, True)",,,disagreement,142
yellow_pages_1_5069,yelp_2_1648,yellow_pages_1__yelp_2,False,False,0.4,,,,,,,0.4,"(False, True, False, False, True)",,,disagreement,143
yellow_pages_1_24395,yelp_3_8060,yellow_pages_1__yelp_3,False,False,0.4,,,,,,,0.4,"(False, True, False, True, False)",,,disagreement,144
yellow_pages_1_28263,yelp_3_8965,yellow_pages_1__yelp_3,True,True,0.4,,,,,,,0.4,"(True, False, False, True, True)",,,disagreement,145
yellow_pages_1_26506,yelp_3_9072,yellow_pages_1__yelp_3,False,False,0.4,,,,,,,0.4,"(False, True, True, False, False)",,,disagreement,146
yellow_pages_1_27666,yelp_3_8987,yellow_pages_1__yelp_3,False,False,0.4,,,,,,,0.4,"(False, True, False, False, True)",,,disagreement,147
yellow_pages_1_14295,yelp_3_4066,yellow_pages_1__yelp_3,False,True,0.4,,,,,,,0.4,"(True, True, False, False, False)",,,disagreement,148
yellow_pages_1_20371,yelp_3_6119,yellow_pages_1__yelp_3,True,True,0.4,,,,,,,0.4,"(True, True, False, True, False)",,,disagreement,149
yellow_pages_1_24591,yelp_3_8836,yellow_pages_1__yelp_3,True,True,0.4,,,,,,,0.4,"(True, False, True, True, False)",,,disagreement,150
yellow_pages_1_4577,zomato_2_3501,yellow_pages_1__zomato_2,False,False,0.4,,,,,,,0.4,"(False, False, False, True, True)",,,disagreement,151
yellow_pages_1_4110,yelp_3_1781,yellow_pages_1__yelp_3,False,True,0.4,,,,,,,0.4,"(True, False, True, False, False)",,,disagreement,152
yellow_pages_1_11246,yelp_3_3872,yellow_pages_1__yelp_3,True,True,0.4,,,,,,,0.4,"(True, False, True, True, False)",,,disagreement,153
yellow_pages_1_3549,yelp_3_1096,yellow_pages_1__yelp_3,True,True,0.4,,,,,,,0.4,"(True, True, False, False, False)",,,disagreement,154
