source,target,datasource_pair,label,predicted_label,disagreement,weighted_disagreement,datasource_pair_frequency,explore_score,exploit_score,betweeness,graph_inferred_label,inf_score,votes,sel_proba,cc_size,query_strategy,size
yellow_pages_1_24121,yelp_2_1126,yellow_pages_1__yelp_2,True,bootstrap,,,,,,,,,,,,,
yellow_pages_1_27838,yelp_3_9917,yellow_pages_1__yelp_3,True,bootstrap,,,,,,,,,,,,,
yellow_pages_1_3175,zomato_2_3513,yellow_pages_1__zomato_2,True,bootstrap,,,,,,,,,,,,,
yelp_2_2152,yelp_3_1852,yelp_2__yelp_3,True,bootstrap,,,,,,,,,,,,,
yelp_2_592,zomato_2_596,yelp_2__zomato_2,True,bootstrap,,,,,,,,,,,,,
yelp_3_1950,zomato_2_2587,yelp_3__zomato_2,True,bootstrap,,,,,,,,,,,,,
yellow_pages_1_2003,yelp_2_1384,yellow_pages_1__yelp_2,False,bootstrap,,,,,,,,,,,,,
yellow_pages_1_13196,yelp_3_4763,yellow_pages_1__yelp_3,False,bootstrap,,,,,,,,,,,,,
yellow_pages_1_2003,zomato_2_1730,yellow_pages_1__zomato_2,False,bootstrap,,,,,,,,,,,,,
yelp_2_915,yelp_3_2843,yelp_2__yelp_3,False,bootstrap,,,,,,,,,,,,,
yelp_2_3816,zomato_2_1469,yelp_2__zomato_2,False,bootstrap,,,,,,,,,,,,,
yelp_3_2131,zomato_2_6279,yelp_3__zomato_2,False,bootstrap,,,,,,,,,,,,,
yellow_pages_1_4921,zomato_2_1055,yellow_pages_1__zomato_2,False,False,0.4,,,,,,,0.4,"(False, False, False, True, True)",,,disagreement,12
yellow_pages_1_23214,yelp_3_7846,yellow_pages_1__yelp_3,False,True,0.4,,,,,,,0.4,"(True, True, True, False, False)",,,disagreement,13
yelp_2_1153,yelp_3_7298,yelp_2__yelp_3,False,False,0.4,,,,,,,0.4,"(False, True, True, False, False)",,,disagreement,14
yellow_pages_1_15957,yelp_3_5827,yellow_pages_1__yelp_3,False,True,0.4,,,,,,,0.4,"(True, False, False, True, True)",,,disagreement,15
yelp_3_7258,zomato_2_3721,yelp_3__zomato_2,False,False,0.4,,,,,,,0.4,"(False, True, True, False, False)",,,disagreement,16
yellow_pages_1_17146,yelp_3_5151,yellow_pages_1__yelp_3,False,False,0.4,,,,,,,0.4,"(False, True, False, True, True)",,,disagreement,17
yelp_2_477,yelp_3_2067,yelp_2__yelp_3,False,False,0.4,,,,,,,0.4,"(False, False, False, True, True)",,,disagreement,18
yelp_3_9089,zomato_2_1532,yelp_3__zomato_2,False,False,0.4,,,,,,,0.4,"(False, False, False, True, True)",,,disagreement,19
yelp_3_1566,zomato_2_3892,yelp_3__zomato_2,True,True,0.4,,,,,,,0.4,"(True, True, True, False, False)",,,disagreement,20
yelp_2_1198,zomato_2_1713,yelp_2__zomato_2,True,False,0.4,,,,,,,0.4,"(False, True, True, True, False)",,,disagreement,21
yellow_pages_1_17465,yelp_3_5058,yellow_pages_1__yelp_3,True,True,0.4,,,,,,,0.4,"(True, False, False, True, True)",,,disagreement,22
yellow_pages_1_9595,yelp_3_3897,yellow_pages_1__yelp_3,False,False,0.4,,,,,,,0.4,"(False, True, True, False, True)",,,disagreement,23
yellow_pages_1_27464,yelp_3_9577,yellow_pages_1__yelp_3,False,True,0.4,,,,,,,0.4,"(True, True, True, False, False)",,,disagreement,24
yelp_3_5570,zomato_2_2127,yelp_3__zomato_2,False,False,0.4,,,,,,,0.4,"(False, True, True, False, False)",,,disagreement,25
yelp_2_402,yelp_3_2378,yelp_2__yelp_3,True,True,0.4,,,,,,,0.4,"(True, False, False, True, True)",,,disagreement,26
yellow_pages_1_4354,zomato_2_3919,yellow_pages_1__zomato_2,True,True,0.4,,,,,,,0.4,"(True, True, True, False, False)",,,disagreement,27
yellow_pages_1_14216,yelp_3_4191,yellow_pages_1__yelp_3,True,True,0.4,,,,,,,0.4,"(True, True, True, False, False)",,,disagreement,28
yelp_2_832,yelp_3_8111,yelp_2__yelp_3,True,True,0.4,,,,,,,0.4,"(True, False, True, True, False)",,,disagreement,29
yellow_pages_1_17840,yelp_3_6369,yellow_pages_1__yelp_3,False,False,0.4,,,,,,,0.4,"(False, True, True, False, False)",,,disagreement,30
yellow_pages_1_23746,yelp_3_5109,yellow_pages_1__yelp_3,False,False,0.4,,,,,,,0.4,"(False, True, False, True, False)",,,disagreement,31
yellow_pages_1_15937,yelp_3_5875,yellow_pages_1__yelp_3,True,True,0.4,,,,,,,0.4,"(True, False, True, False, False)",,,disagreement,32
yellow_pages_1_23506,zomato_2_1997,yellow_pages_1__zomato_2,True,True,0.4,,,,,,1.0,0.4,"(True, True, False, True, False)",0.25,4.0,disagreement_post_graph,33
yellow_pages_1_18108,yelp_3_5995,yellow_pages_1__yelp_3,True,False,0.4,,,,,,0.0,0.4,"(False, True, True, True, False)",1.0,0.0,disagreement_post_graph,34
yelp_2_2002,yelp_3_1548,yelp_2__yelp_3,True,True,0.4,,,,,,1.0,0.4,"(True, False, False, True, True)",0.3333333333333333,3.0,disagreement_post_graph,35
yelp_2_1278,zomato_2_1593,yelp_2__zomato_2,True,False,0.4,,,,,,1.0,0.4,"(False, False, False, True, True)",0.25,4.0,disagreement_post_graph,36
yellow_pages_1_5438,yelp_3_1848,yellow_pages_1__yelp_3,False,False,0.4,,,,,,1.0,0.4,"(False, True, False, True, True)",0.2,5.0,disagreement_post_graph,37
yellow_pages_1_7687,zomato_2_654,yellow_pages_1__zomato_2,True,False,0.4,,,,,,0.0,0.4,"(False, True, False, True, False)",1.0,0.0,disagreement_post_graph,38
yellow_pages_1_18274,yelp_3_6383,yellow_pages_1__yelp_3,False,False,0.4,,,,,,0.0,0.4,"(False, True, False, False, True)",1.0,0.0,disagreement_post_graph,39
yellow_pages_1_9350,yelp_3_3105,yellow_pages_1__yelp_3,False,False,0.4,,,,,,0.0,0.4,"(False, True, True, False, False)",1.0,0.0,disagreement_post_graph,40
yellow_pages_1_5271,yelp_2_1702,yellow_pages_1__yelp_2,True,False,0.4,,,,,,1.0,0.4,"(False, False, False, True, True)",0.3333333333333333,3.0,disagreement_post_graph,41
yellow_pages_1_25258,yelp_3_8466,yellow_pages_1__yelp_3,False,True,0.4,,,,,,0.0,0.4,"(True, False, False, True, True)",1.0,0.0,disagreement_post_graph,42
yellow_pages_1_24122,yelp_2_878,yellow_pages_1__yelp_2,True,False,0.4,,,,,,1.0,0.4,"(False, True, True, True, False)",0.3333333333333333,3.0,disagreement_post_graph,43
yelp_3_1893,zomato_2_3901,yelp_3__zomato_2,False,False,0.4,,,,,,0.0,0.4,"(False, False, True, True, False)",1.0,0.0,disagreement_post_graph,44
yelp_2_1178,zomato_2_1579,yelp_2__zomato_2,True,False,0.4,,,,,,1.0,0.4,"(False, False, True, True, True)",0.25,4.0,disagreement_post_graph,45
yellow_pages_1_25119,zomato_2_1795,yellow_pages_1__zomato_2,True,False,0.4,,,,,,1.0,0.4,"(False, True, False, False, True)",0.3333333333333333,3.0,disagreement_post_graph,46
yelp_2_3988,zomato_2_7457,yelp_2__zomato_2,True,False,0.4,,,,,,1.0,0.4,"(False, False, False, True, True)",0.25,4.0,disagreement_post_graph,47
yelp_2_1635,zomato_2_2822,yelp_2__zomato_2,False,True,0.4,,,,,,0.0,0.4,"(True, True, False, True, False)",1.0,0.0,disagreement_post_graph,48
yellow_pages_1_24252,zomato_2_1931,yellow_pages_1__zomato_2,False,True,0.4,,,,,,0.0,0.4,"(True, False, False, True, True)",1.0,0.0,disagreement_post_graph,49
yellow_pages_1_23737,yelp_3_8733,yellow_pages_1__yelp_3,False,True,0.4,,,,,,0.0,0.4,"(True, True, True, False, False)",1.0,0.0,disagreement_post_graph,50
yellow_pages_1_25779,zomato_2_2301,yellow_pages_1__zomato_2,True,True,0.4,,,,,,1.0,0.4,"(True, False, True, True, False)",0.25,4.0,disagreement_post_graph,51
yellow_pages_1_3549,yelp_3_1096,yellow_pages_1__yelp_3,True,False,0.4,,,,,,1.0,0.4,"(False, True, True, False, False)",0.25,4.0,disagreement_post_graph,52
yelp_3_8662,zomato_2_1584,yelp_3__zomato_2,False,False,0.4,,,,,,0.0,0.4,"(False, True, True, True, False)",1.0,0.0,disagreement_post_graph,53
yellow_pages_1_20366,yelp_3_6833,yellow_pages_1__yelp_3,False,False,0.4,,,,,,0.0,0.4,"(False, True, True, False, False)",1.0,0.0,disagreement_post_graph,54
yellow_pages_1_15951,yelp_3_5730,yellow_pages_1__yelp_3,False,False,0.4,,,,,,0.0,0.4,"(False, True, True, False, False)",1.0,0.0,disagreement_post_graph,55
yelp_3_8283,zomato_2_1966,yelp_3__zomato_2,True,False,0.4,,,,,,1.0,0.4,"(False, True, True, False, False)",0.25,4.0,disagreement_post_graph,56
yellow_pages_1_18663,yelp_3_6312,yellow_pages_1__yelp_3,True,True,0.4,,,,,,1.0,0.4,"(True, False, True, True, False)",0.5,2.0,disagreement_post_graph,57
yellow_pages_1_27861,yelp_3_9668,yellow_pages_1__yelp_3,False,False,0.4,,,,,,0.0,0.4,"(False, True, True, False, False)",1.0,0.0,disagreement_post_graph,58
yellow_pages_1_4251,yelp_3_1962,yellow_pages_1__yelp_3,False,False,0.4,,,,,,0.0,0.4,"(False, True, True, False, False)",1.0,0.0,disagreement_post_graph,59
yellow_pages_1_14965,yelp_3_5290,yellow_pages_1__yelp_3,False,False,0.4,,,,,,0.0,0.4,"(False, True, True, False, False)",1.0,0.0,disagreement_post_graph,60
yellow_pages_1_28290,yelp_3_9026,yellow_pages_1__yelp_3,True,True,0.4,,,,,,1.0,0.4,"(True, False, True, True, False)",0.5,2.0,disagreement_post_graph,61
yellow_pages_1_24840,zomato_2_1621,yellow_pages_1__zomato_2,True,False,0.4,,,,,,1.0,0.4,"(False, False, True, True, True)",0.3333333333333333,3.0,disagreement_post_graph,62
yellow_pages_1_26615,yelp_3_9154,yellow_pages_1__yelp_3,True,True,0.4,,,,,,1.0,0.4,"(True, False, True, False, False)",0.5,2.0,disagreement_post_graph,63
yellow_pages_1_19016,yelp_3_6588,yellow_pages_1__yelp_3,True,True,0.4,,,,,,1.0,0.4,"(True, False, True, False, False)",0.5,2.0,disagreement_post_graph,64
yellow_pages_1_16736,yelp_3_5905,yellow_pages_1__yelp_3,True,True,0.4,,,,,,1.0,0.4,"(True, False, True, True, False)",0.5,2.0,disagreement_post_graph,65
yellow_pages_1_25623,yelp_3_8864,yellow_pages_1__yelp_3,True,False,0.4,,,,,,1.0,0.4,"(False, True, True, False, False)",0.25,4.0,disagreement_post_graph,66
yellow_pages_1_19143,yelp_3_6525,yellow_pages_1__yelp_3,True,True,0.4,,,,,,1.0,0.4,"(True, False, False, True, False)",0.09090909090909091,11.0,disagreement_post_graph,67
yellow_pages_1_432,yelp_2_3501,yellow_pages_1__yelp_2,False,False,0.4,,,,,,1.0,0.4,"(False, False, False, True, True)",0.25,4.0,disagreement_post_graph,68
yellow_pages_1_5394,yelp_3_1797,yellow_pages_1__yelp_3,False,True,0.4,,,,,,0.0,0.4,"(True, True, True, False, False)",1.0,0.0,disagreement_post_graph,69
yellow_pages_1_27332,yelp_3_9416,yellow_pages_1__yelp_3,False,True,0.4,,,,,,1.0,0.4,"(True, True, True, False, False)",0.25,4.0,disagreement_post_graph,70
yellow_pages_1_4110,yelp_3_1239,yellow_pages_1__yelp_3,False,True,0.4,,,,,,0.0,0.4,"(True, True, True, False, False)",1.0,0.0,disagreement_post_graph,71
yellow_pages_1_25254,yelp_3_8855,yellow_pages_1__yelp_3,True,False,0.4,,,,,,1.0,0.4,"(False, True, True, False, False)",0.25,4.0,disagreement_post_graph,72
yellow_pages_1_4217,yelp_2_1558,yellow_pages_1__yelp_2,False,False,0.4,,,,,,1.0,0.4,"(False, True, False, False, True)",0.14285714285714285,7.0,disagreement_post_graph,73
yelp_3_8765,zomato_2_1486,yelp_3__zomato_2,True,True,0.4,,,,,,1.0,0.4,"(True, False, False, True, True)",0.16666666666666666,6.0,disagreement_post_graph,74
yellow_pages_1_14274,yelp_3_4961,yellow_pages_1__yelp_3,False,False,0.4,,,,,,0.0,0.4,"(False, True, True, False, False)",1.0,0.0,disagreement_post_graph,75
yellow_pages_1_2827,yelp_3_855,yellow_pages_1__yelp_3,False,True,0.4,,,,,,0.0,0.4,"(True, False, True, True, False)",1.0,0.0,disagreement_post_graph,76
yelp_2_710,yelp_3_6079,yelp_2__yelp_3,False,False,0.4,,,,,,0.0,0.4,"(False, True, True, False, False)",1.0,0.0,disagreement_post_graph,77
yellow_pages_1_25399,zomato_2_1469,yellow_pages_1__zomato_2,False,False,0.4,,,,,,0.0,0.4,"(False, False, False, True, True)",1.0,0.0,disagreement_post_graph,78
yelp_2_1661,zomato_2_3491,yelp_2__zomato_2,False,False,0.4,,,,,,0.0,0.4,"(False, False, False, True, True)",1.0,0.0,disagreement_post_graph,79
yellow_pages_1_3019,yelp_2_2012,yellow_pages_1__yelp_2,True,True,0.4,,,,,,1.0,0.4,"(True, False, False, True, True)",0.25,4.0,disagreement_post_graph,80
yellow_pages_1_28748,yelp_3_9362,yellow_pages_1__yelp_3,False,True,0.4,,,,,,1.0,0.4,"(True, False, True, True, False)",0.3333333333333333,3.0,disagreement_post_graph,81
yellow_pages_1_25692,yelp_2_1315,yellow_pages_1__yelp_2,True,False,0.4,,,,,,1.0,0.4,"(False, True, False, True, False)",0.2,5.0,disagreement_post_graph,82
yellow_pages_1_5302,yelp_2_2191,yellow_pages_1__yelp_2,True,False,0.4,,,,,,1.0,0.4,"(False, False, False, True, True)",0.3333333333333333,3.0,disagreement_post_graph,83
yelp_2_1533,zomato_2_3602,yelp_2__zomato_2,False,True,0.4,,,,,,0.0,0.4,"(True, False, False, True, True)",1.0,0.0,disagreement_post_graph,84
yellow_pages_1_6425,zomato_2_510,yellow_pages_1__zomato_2,True,False,0.4,,,,,,1.0,0.4,"(False, False, True, True, True)",0.3333333333333333,3.0,disagreement_post_graph,85
yellow_pages_1_28656,yelp_3_9358,yellow_pages_1__yelp_3,True,True,0.4,,,,,,1.0,0.4,"(True, True, False, True, False)",0.5,2.0,disagreement_post_graph,86
yellow_pages_1_25772,yelp_2_1410,yellow_pages_1__yelp_2,True,False,0.4,,,,,,1.0,0.4,"(False, False, False, True, True)",0.3333333333333333,3.0,disagreement_post_graph,87
yelp_2_557,yelp_3_2479,yelp_2__yelp_3,False,True,0.4,,,,,,0.0,0.4,"(True, False, False, False, True)",1.0,0.0,disagreement_post_graph,88
yelp_3_1055,zomato_2_3536,yelp_3__zomato_2,False,True,0.4,,,,,,0.0,0.4,"(True, False, True, False, True)",1.0,0.0,disagreement_post_graph,89
yellow_pages_1_27451,yelp_3_9706,yellow_pages_1__yelp_3,False,False,0.4,,,,,,0.0,0.4,"(False, False, True, True, True)",1.0,0.0,disagreement_post_graph,90
yellow_pages_1_26442,yelp_3_9045,yellow_pages_1__yelp_3,False,False,0.4,,,,,,0.0,0.4,"(False, True, True, False, False)",1.0,0.0,disagreement_post_graph,91
yellow_pages_1_26391,yelp_3_8397,yellow_pages_1__yelp_3,True,True,0.4,,,,,,1.0,0.4,"(True, True, False, True, False)",0.3333333333333333,3.0,disagreement_post_graph,92
yellow_pages_1_4770,yelp_2_2348,yellow_pages_1__yelp_2,True,False,0.4,,,,,,1.0,0.4,"(False, True, False, True, True)",0.3333333333333333,3.0,disagreement_post_graph,93
yellow_pages_1_28615,yelp_3_9005,yellow_pages_1__yelp_3,True,False,0.4,,,,,,0.0,0.4,"(False, False, True, True, False)",1.0,0.0,disagreement_post_graph,94
yellow_pages_1_2279,yelp_3_420,yellow_pages_1__yelp_3,True,False,0.4,,,,,,1.0,0.4,"(False, True, True, False, False)",0.2,5.0,disagreement_post_graph,95
yellow_pages_1_22801,yelp_3_7850,yellow_pages_1__yelp_3,False,False,0.4,,,,,,0.0,0.4,"(False, True, False, True, False)",1.0,0.0,disagreement_post_graph,96
yellow_pages_1_23224,yelp_3_7771,yellow_pages_1__yelp_3,True,True,0.4,,,,,,1.0,0.4,"(True, False, True, True, False)",0.3333333333333333,3.0,disagreement_post_graph,97
yellow_pages_1_18315,yelp_3_6799,yellow_pages_1__yelp_3,False,False,0.4,,,,,,1.0,0.4,"(False, True, True, False, False)",0.25,4.0,disagreement_post_graph,98
yellow_pages_1_27155,yelp_3_9737,yellow_pages_1__yelp_3,True,True,0.4,,,,,,1.0,0.4,"(True, False, True, True, False)",0.5,2.0,disagreement_post_graph,99
yelp_3_2825,zomato_2_97,yelp_3__zomato_2,True,True,0.4,,,,,,1.0,0.4,"(True, False, True, True, False)",0.3333333333333333,3.0,disagreement_post_graph,100
yellow_pages_1_135,yelp_2_3928,yellow_pages_1__yelp_2,False,False,0.4,,,,,,1.0,0.4,"(False, False, False, True, True)",0.2,5.0,disagreement_post_graph,101
yellow_pages_1_27754,yelp_3_9262,yellow_pages_1__yelp_3,False,False,0.4,,,,,,0.0,0.4,"(False, True, True, False, False)",1.0,0.0,disagreement_post_graph,102
yellow_pages_1_7436,yelp_2_630,yellow_pages_1__yelp_2,True,False,0.4,,,,,,1.0,0.4,"(False, True, False, False, True)",0.25,4.0,disagreement_post_graph,103
yellow_pages_1_25438,yelp_3_8485,yellow_pages_1__yelp_3,False,False,0.4,,,,,,0.0,0.4,"(False, True, True, True, False)",1.0,0.0,disagreement_post_graph,104
yellow_pages_1_28007,zomato_2_1244,yellow_pages_1__zomato_2,False,False,0.4,,,,,,0.0,0.4,"(False, False, False, True, True)",1.0,0.0,disagreement_post_graph,105
yellow_pages_1_5240,yelp_3_1723,yellow_pages_1__yelp_3,False,True,0.4,,,,,,0.0,0.4,"(True, True, False, False, False)",1.0,0.0,disagreement_post_graph,106
yellow_pages_1_4887,yelp_3_1117,yellow_pages_1__yelp_3,False,True,0.4,,,,,,0.0,0.4,"(True, True, False, False, False)",1.0,0.0,disagreement_post_graph,107
yellow_pages_1_582,yelp_2_3994,yellow_pages_1__yelp_2,True,False,0.4,,,,,,1.0,0.4,"(False, False, False, True, True)",0.3333333333333333,3.0,disagreement_post_graph,108
yellow_pages_1_135,zomato_2_7520,yellow_pages_1__zomato_2,False,True,0.4,,,,,,0.0,0.4,"(True, True, True, False, False)",1.0,0.0,disagreement_post_graph,109
yelp_2_3862,zomato_2_7314,yelp_2__zomato_2,True,False,0.4,,,,,,1.0,0.4,"(False, False, False, True, True)",0.25,4.0,disagreement_post_graph,110
yellow_pages_1_21415,yelp_3_7412,yellow_pages_1__yelp_3,True,False,0.4,,,,,,0.0,0.4,"(False, True, True, False, False)",1.0,0.0,disagreement_post_graph,111
yellow_pages_1_4153,yelp_3_1380,yellow_pages_1__yelp_3,False,False,0.4,,,,,,0.0,0.4,"(False, True, False, False, True)",1.0,0.0,disagreement_post_graph,112
yellow_pages_1_6954,yelp_3_2370,yellow_pages_1__yelp_3,True,False,0.4,,,,,,1.0,0.4,"(False, True, True, False, False)",0.3333333333333333,3.0,disagreement_post_graph,113
yellow_pages_1_3587,yelp_3_1311,yellow_pages_1__yelp_3,False,False,0.4,,,,,,0.0,0.4,"(False, False, False, True, True)",1.0,0.0,disagreement_post_graph,114
yelp_3_1471,zomato_2_3810,yelp_3__zomato_2,False,True,0.4,,,,,,1.0,0.4,"(True, False, True, False, True)",0.2,5.0,disagreement_post_graph,115
yellow_pages_1_25733,yelp_2_1155,yellow_pages_1__yelp_2,True,True,0.4,,,,,,1.0,0.4,"(True, False, False, True, True)",0.2,5.0,disagreement_post_graph,116
yellow_pages_1_22613,yelp_3_7488,yellow_pages_1__yelp_3,False,False,0.4,,,,,,0.0,0.4,"(False, True, False, True, False)",1.0,0.0,disagreement_post_graph,117
yellow_pages_1_26136,zomato_2_1486,yellow_pages_1__zomato_2,True,False,0.4,,,,,,1.0,0.4,"(False, False, False, True, True)",0.2,5.0,disagreement_post_graph,118
yelp_2_1273,zomato_2_1968,yelp_2__zomato_2,True,False,0.4,,,,,,1.0,0.4,"(False, False, True, True, True)",0.25,4.0,disagreement_post_graph,119
yellow_pages_1_3587,zomato_2_3887,yellow_pages_1__zomato_2,False,True,0.4,,,,,,0.0,0.4,"(True, False, False, False, True)",1.0,0.0,disagreement_post_graph,120
yelp_2_3286,zomato_2_7187,yelp_2__zomato_2,True,False,0.4,,,,,,1.0,0.4,"(False, False, True, True, True)",0.25,4.0,disagreement_post_graph,121
yelp_2_799,yelp_3_8776,yelp_2__yelp_3,False,True,0.4,,,,,,0.0,0.4,"(True, False, False, True, True)",1.0,0.0,disagreement_post_graph,122
yelp_2_1387,yelp_3_8910,yelp_2__yelp_3,False,False,0.4,,,,,,0.0,0.4,"(False, False, False, True, True)",1.0,0.0,disagreement_post_graph,123
yellow_pages_1_24376,yelp_3_8567,yellow_pages_1__yelp_3,True,True,0.4,,,,,,1.0,0.4,"(True, False, True, True, False)",0.25,4.0,disagreement_post_graph,124
yellow_pages_1_4577,zomato_2_3501,yellow_pages_1__zomato_2,False,False,0.4,,,,,,0.0,0.4,"(False, False, False, True, True)",1.0,0.0,disagreement_post_graph,125
yellow_pages_1_25774,yelp_3_8150,yellow_pages_1__yelp_3,False,True,0.4,,,,,,0.0,0.4,"(True, False, True, True, False)",1.0,0.0,disagreement_post_graph,126
yellow_pages_1_4083,yelp_2_1888,yellow_pages_1__yelp_2,True,False,0.4,,,,,,1.0,0.4,"(False, False, True, False, True)",0.3333333333333333,3.0,disagreement_post_graph,127
yellow_pages_1_16813,yelp_3_5119,yellow_pages_1__yelp_3,True,True,0.4,,,,,,1.0,0.4,"(True, False, True, True, False)",0.5,2.0,disagreement_post_graph,128
yellow_pages_1_28357,yelp_3_9045,yellow_pages_1__yelp_3,True,True,0.4,,,,,,1.0,0.4,"(True, False, True, True, False)",0.5,2.0,disagreement_post_graph,129
yellow_pages_1_26216,yelp_3_8313,yellow_pages_1__yelp_3,True,False,0.4,,,,,,1.0,0.4,"(False, True, True, False, False)",0.2,5.0,disagreement_post_graph,130
yellow_pages_1_4211,yelp_3_1166,yellow_pages_1__yelp_3,False,True,0.4,,,,,,0.0,0.4,"(True, True, True, False, False)",1.0,0.0,disagreement_post_graph,131
yellow_pages_1_19125,yelp_3_6920,yellow_pages_1__yelp_3,True,False,0.4,,,,,,1.0,0.4,"(False, False, True, True, True)",0.25,4.0,disagreement_post_graph,132
yellow_pages_1_4926,yelp_2_2213,yellow_pages_1__yelp_2,True,False,0.4,,,,,,1.0,0.4,"(False, False, False, True, True)",0.25,4.0,disagreement_post_graph,133
yellow_pages_1_7722,yelp_3_2600,yellow_pages_1__yelp_3,True,True,0.4,,,,,,1.0,0.4,"(True, False, True, False, False)",0.2,5.0,disagreement_post_graph,134
